name	id	coaching_history	current_team_head_coached
Mark Mangino	/guid/9202a8c04000641f800000000084ae70		
Carl Torbush	/guid/9202a8c04000641f8000000000952cc5		
Bret Bielema	/guid/9202a8c04000641f8000000000928978		
Bill McPeak	/guid/9202a8c04000641f800000000466a0e9	/guid/9202a8c04000641f8000000009c7847d	
Nick Holt	/guid/9202a8c04000641f80000000045ee6fe		
Hal Lahar	/guid/9202a8c04000641f8000000006c40ca8		
John Konstantinos	/guid/9202a8c04000641f8000000006f7bcea		
Emmett Stuber	/guid/9202a8c04000641f8000000006f843b6		
A. C. Jones	/guid/9202a8c04000641f8000000006c29995		
Albert Hanson	/guid/9202a8c04000641f8000000006edf7bd		
Phil Sarboe	/guid/9202a8c04000641f80000000056cec27		
William Isham Traeger	/guid/9202a8c04000641f80000000011c73bb		
Leeman Bennett	/guid/9202a8c04000641f8000000000a2e457	/guid/9202a8c04000641f8000000009c77c4e,/guid/9202a8c04000641f8000000009c786f9	
Jim Dooley	/guid/9202a8c04000641f8000000000a8412f	/guid/9202a8c04000641f8000000009c77353	
Dick Nolan	/guid/9202a8c04000641f8000000000782d10	/guid/9202a8c04000641f8000000009c7890b,/guid/9202a8c04000641f8000000009c785d8	
Mike Stoops	/guid/9202a8c04000641f800000000077f34f		
Magnus Johansson	/guid/9202a8c04000641f8000000000943c54		
Joe Vitt	/guid/9202a8c04000641f800000000089ca35	/guid/9202a8c04000641f8000000009c77e1e	
Barry Switzer	/guid/9202a8c04000641f8000000000132920	/guid/9202a8c04000641f8000000009c788af	
Mike Hankwitz	/guid/9202a8c04000641f8000000000d20781		
Ray Handley	/guid/9202a8c04000641f8000000000801b47	/guid/9202a8c04000641f8000000009c78082	
Dell Morgan	/guid/9202a8c04000641f8000000000d579da		
Bill Meek	/guid/9202a8c04000641f8000000000d793a1		
Ray Prochaska	/guid/9202a8c04000641f8000000009c77bdf	/guid/9202a8c04000641f8000000009c77bdc	
Steve Sidwell	/guid/9202a8c04000641f8000000004622474		
Bud Foster	/guid/9202a8c04000641f80000000047bb7d8		
Odus Mitchell	/guid/9202a8c04000641f800000000472540d		
Andy Ludwig	/guid/9202a8c04000641f800000000463afbb		
Don Panciera	/guid/9202a8c04000641f80000000055ad05e		
Tim Murphy	/guid/9202a8c04000641f80000000047459bd		
Mark Dantonio	/guid/9202a8c04000641f800000000463fe8b		
Phil Krueger	/guid/9202a8c04000641f80000000056b7fbd		
Mike Maser	/guid/9202a8c04000641f8000000006faafeb		
Don Carthel	/guid/9202a8c04000641f8000000006b63f9e		
Josh Boyer	/guid/9202a8c04000641f8000000006c18817		
Jim Wright	/guid/9202a8c04000641f8000000006ee7e3c		
Ivan Fears	/guid/9202a8c04000641f80000000047db547		
W.S. Bates	/guid/9202a8c04000641f80000000047478d6		
Dave Smith	/guid/9202a8c04000641f8000000006b9bb08		
Tom Lovat	/guid/9202a8c04000641f80000000074d4931		
John Lott	/guid/9202a8c04000641f8000000007363433		
Alva E. Kelley	/guid/9202a8c04000641f8000000006edf184		
Doug Marrone	/guid/9202a8c04000641f8000000006f9593c		
Jim McElwain	/guid/9202a8c04000641f800000000735b1aa		
H.D. McChesney	/guid/9202a8c04000641f8000000006ec1446		
Pete Tillman	/guid/9202a8c04000641f8000000006ee7d95		
A. Bird Glaspie	/guid/9202a8c04000641f8000000006c287c0		
Seymour \"Red\" Kelin	/guid/9202a8c04000641f8000000006c0a909		
Bill Jennings	/guid/9202a8c04000641f8000000000e55893		
Dave Campo	/guid/9202a8c04000641f80000000007fe826	/guid/9202a8c04000641f8000000009c788a6	
Bob Devaney	/guid/9202a8c04000641f800000000053210a		
Harry Gilmer	/guid/9202a8c04000641f8000000000ea82d0	/guid/9202a8c04000641f8000000009c78261	
Paul Johnson	/guid/9202a8c04000641f8000000000ddd82a		
Bobby Grayson	/guid/9202a8c04000641f8000000000e0bce4		
W. H. Britton	/guid/9202a8c04000641f8000000000d68288		
Paul J. Schissler	/guid/9202a8c04000641f8000000000d6e655	/guid/9202a8c04000641f8000000009c77a89	
Erk Russell	/guid/9202a8c04000641f8000000000eddb9c		
Skip Holtz	/guid/9202a8c04000641f800000000071edce		
William Heffelfinger	/guid/9202a8c04000641f8000000000b7c4e9		
Will Skinner	/guid/9202a8c04000641f8000000000cca60a		
Bob Stull	/guid/9202a8c04000641f8000000000d6d8c7		
Gene McDowell	/guid/9202a8c04000641f8000000006c4a11a		
Jeff Mullen	/guid/9202a8c04000641f8000000007b6bbee		
Ben Martin	/guid/9202a8c04000641f8000000006c2fd0f		
Tom Gilmore	/guid/9202a8c04000641f8000000007b4d343		
Bill Kelly	/guid/9202a8c04000641f8000000006ec25e6		
Mike Gardner	/guid/9202a8c04000641f8000000006b2a37f		
Johnny Poe	/guid/9202a8c04000641f8000000006c2f627		
Roy K. Thomas	/guid/9202a8c04000641f8000000006ee7bda		
Ralph Thacker	/guid/9202a8c04000641f8000000006c4a15c		
Ronnie Jones	/guid/9202a8c04000641f8000000006bf4cf0		
Charlie Jackson	/guid/9202a8c04000641f800000000098d858		
Bill Hess	/guid/9202a8c04000641f8000000000a4901a		
Harry Mehre	/guid/9202a8c04000641f8000000000da0f9a		
Rich Kotite	/guid/9202a8c04000641f80000000006c9bc6	/guid/9202a8c04000641f8000000009c7765f,/guid/9202a8c04000641f8000000009cdc4b1	
Larry Coker	/guid/9202a8c04000641f800000000053b3f7		
Forest Evashevski	/guid/9202a8c04000641f8000000000d212d3		
Charley Pell	/guid/9202a8c04000641f80000000008d5710		
Rocky Hager	/guid/9202a8c04000641f8000000000b213de		
Bill Fulcher	/guid/9202a8c04000641f80000000009f344b		
Luby DiMelio	/guid/9202a8c04000641f8000000000e8bcd7	/guid/9202a8c04000641f8000000009cdc8cf	
Tom Coughlin	/guid/9202a8c04000641f800000000058488e		New York Giants
Gerry Faust	/guid/9202a8c04000641f800000000051d288		
Harvey Robinson	/guid/9202a8c04000641f8000000000c9d6a9		
Jim Harbaugh	/guid/9202a8c04000641f80000000004bcf3a		
Jimmy Sharpe	/guid/9202a8c04000641f8000000000ebba48		
Steve Spurrier	/guid/9202a8c04000641f80000000003ef001	/guid/9202a8c04000641f8000000009c784a5	
Dick Crum	/guid/9202a8c04000641f8000000000c819d3		
Ernie Zampese	/guid/9202a8c04000641f80000000009f81d1		
John Barnhill	/guid/9202a8c04000641f8000000000d68180		
Mac McWorter	/guid/9202a8c04000641f80000000011c9066		
Raymond Wolf	/guid/9202a8c04000641f800000000465e357		
Ted Monachino	/guid/9202a8c04000641f80000000055d0a57		
J.W.H. Pollard	/guid/9202a8c04000641f80000000056d031d		
Gene Dahlquist	/guid/9202a8c04000641f8000000006eddb36		
G. O. Dietz	/guid/9202a8c04000641f8000000006edf7f4		
Bob Harrell	/guid/9202a8c04000641f80000000076a2a0b		
A. A. Booth	/guid/9202a8c04000641f8000000006c27b80		
Chester Brewer	/guid/9202a8c04000641f80000000047475ea		
Allyn McKeen	/guid/9202a8c04000641f80000000056b8118		
Jim Gilstrap	/guid/9202a8c04000641f8000000005e10876		
Harvey Harman	/guid/9202a8c04000641f8000000004725ac1		
Ralph Hutchinson	/guid/9202a8c04000641f8000000004725e69		
Chick Meehan	/guid/9202a8c04000641f800000000465c6eb		
Harold D. Drew	/guid/9202a8c04000641f8000000004738bb8		
Red Floyd	/guid/9202a8c04000641f8000000004670d51		
Mike Faragalli	/guid/9202a8c04000641f8000000005c0a841		
Sonny Lubick	/guid/9202a8c04000641f8000000000ce4002		
Red Cochran	/guid/9202a8c04000641f8000000007cfd92b		
Jeff Casteel	/guid/9202a8c04000641f8000000006c298ad		
James Daniel	/guid/9202a8c04000641f8000000006c0f681		
Willie Jeffries	/guid/9202a8c04000641f8000000005a9b232		
Rod Broadway	/guid/9202a8c04000641f8000000006c476fd		
Eddie Kriwiel	/guid/9202a8c04000641f8000000006ee7df8		
Sam H. Hill	/guid/9202a8c04000641f8000000006ee7c60		
Wilmer D. Elfrink	/guid/9202a8c04000641f8000000006ee7c32		
George Van Bibber	/guid/9202a8c04000641f8000000006c49e45		
Chris Thomsen	/guid/9202a8c04000641f8000000006faadaf		
Mike Gottsch	/guid/9202a8c04000641f8000000006b82efe		
Eric Mangini	/guid/9202a8c04000641f80000000009ee41a		New York Jets
Grenville Lewis	/guid/9202a8c04000641f8000000000cca591		
Mack Brown	/guid/9202a8c04000641f80000000005ebea6		
Tyrone Willingham	/guid/9202a8c04000641f8000000000480fe8		
Tom Fennell	/guid/9202a8c04000641f8000000000d6da17		
Bill Saunders	/guid/9202a8c04000641f80000000011cafbf		
Herbert McIntyre	/guid/9202a8c04000641f8000000000d74238		
Leon Fuller	/guid/9202a8c04000641f8000000006eba842		
Marcus Arroyo	/guid/9202a8c04000641f8000000007d82d09		
Chuck Pagano	/guid/9202a8c04000641f8000000007356393		
Chris Thurmond	/guid/9202a8c04000641f8000000006c25e2e		
Claude Rothgeb	/guid/9202a8c04000641f8000000006eba77c		
Bob Smith	/guid/9202a8c04000641f8000000006ec5ce8		
Larry Kramer	/guid/9202a8c04000641f8000000006ec157a		
Kevin Higgins	/guid/9202a8c04000641f8000000006ee4663		
Dick Anderson	/guid/9202a8c04000641f8000000006b80d83		
Dexter W. Draper	/guid/9202a8c04000641f8000000007d52b78		
Albert J. \"Al\" Gebert	/guid/9202a8c04000641f8000000006ee7c81		
